timestamp,event,TCP_pose,joint_angles,TCP_force
0.0,Start D4 on A,"[0.008835681187176266, -0.9883867999054667, 0.23677435597157379, 0.39610446802750177, 3.0854749224460245, 0.40091247563360277]","[-1.3572432101825136, -2.863110687423454, -0.2668427679633112, -1.8229473494479471, 1.6605010612536875, 0.4580637034825308]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0.6880000000001019,End D4 on A,"[0.01180279604132832, -0.9949267557417856, 0.23946979491737586, 0.3975173257798288, 3.086279533283362, 0.4025972091211499]","[-1.35549551280788, -2.9934165264768944, 0.009261056263047743, -1.9698761781005167, 1.6602267511326534, 0.46062810527201303]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0.7039999999999509,Start D4 on A,"[0.01180279604132832, -0.9949267557417856, 0.23946979491737586, 0.3975173257798288, 3.086279533283362, 0.4025972091211499]","[-1.35549551280788, -2.9934165264768944, 0.009261056263047743, -1.9698761781005167, 1.6602267511326534, 0.46062810527201303]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1.3759999999999764,End D4 on A,"[0.01180279604132832, -0.9949267557417856, 0.23946979491737586, 0.3975173257798288, 3.086279533283362, 0.4025972091211499]","[-1.35549551280788, -2.9934165264768944, 0.009261056263047743, -1.9698761781005167, 1.6602267511326534, 0.46062810527201303]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1.3920000000000528,Start A3 on A,"[0.01180279604132832, -0.9949267557417856, 0.23946979491737586, 0.3975173257798288, 3.086279533283362, 0.4025972091211499]","[-1.35549551280788, -2.9934165264768944, 0.009261056263047743, -1.9698761781005167, 1.6602267511326534, 0.46062810527201303]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2.064000000000078,End A3 on A,"[0.01180279604132832, -0.9949267557417856, 0.23946979491737586, 0.3975173257798288, 3.086279533283362, 0.4025972091211499]","[-1.35549551280788, -2.9934165264768944, 0.009261056263047743, -1.9698761781005167, 1.6602267511326534, 0.46062810527201303]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2.0799999999999272,Start A3 on A,"[0.01180279604132832, -0.9949267557417856, 0.23946979491737586, 0.3975173257798288, 3.086279533283362, 0.4025972091211499]","[-1.35549551280788, -2.9934165264768944, 0.009261056263047743, -1.9698761781005167, 1.6602267511326534, 0.46062810527201303]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2.7439999999999145,End A3 on A,"[0.01180279604132832, -0.9949267557417856, 0.23946979491737586, 0.3975173257798288, 3.086279533283362, 0.4025972091211499]","[-1.35549551280788, -2.9934165264768944, 0.009261056263047743, -1.9698761781005167, 1.6602267511326534, 0.46062810527201303]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2.759999999999991,Start B3 on A,"[0.01180279604132832, -0.9949267557417856, 0.23946979491737586, 0.3975173257798288, 3.086279533283362, 0.4025972091211499]","[-1.35549551280788, -2.9934165264768944, 0.009261056263047743, -1.9698761781005167, 1.6602267511326534, 0.46062810527201303]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
3.0799999999999272,End B3 on A,"[0.01180279604132832, -0.9949267557417856, 0.23946979491737586, 0.3975173257798288, 3.086279533283362, 0.4025972091211499]","[-1.35549551280788, -2.9934165264768944, 0.009261056263047743, -1.9698761781005167, 1.6602267511326534, 0.46062810527201303]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
