timestamp_robot,time_elapsed_sec,event_flag,event_label,current_event_type,current_note_number,current_note_name,current_string,remaining_duration_sec,TCP_pose_x,TCP_pose_y,TCP_pose_z,TCP_pose_rx,TCP_pose_ry,TCP_pose_rz,q_base,q_shoulder,q_elbow,q_wrist1,q_wrist2,q_wrist3,TCP_force_x,TCP_force_y,TCP_force_z,TCP_force_rx,TCP_force_ry,TCP_force_rz,current_note_event
9445.416,0.0,3,Starting d_bow...,Note,62,D4,A,0.498958,0.351021,0.656353,0.176843,-1.661089,-2.080772,1.037507,-2.338711,-0.58491,1.149962,-1.362194,-1.367577,-2.642334,-1.516424,0.071236,0.182787,-0.151808,-0.016101,0.107999,A
9445.424,0.008,3,Playing d_bow...,Note,62,D4,A,0.490958,0.351012,0.656354,0.176829,-1.66104,-2.080799,1.037513,-2.338699,-0.584891,1.149967,-1.362209,-1.367577,-2.642364,-1.376531,0.043912,0.076639,-0.146667,-0.010801,0.105447,A
9445.432,0.016,3,Playing d_bow...,Note,62,D4,A,0.482958,0.351009,0.656359,0.176866,-1.66107,-2.080837,1.037428,-2.338692,-0.584938,1.149956,-1.362221,-1.367577,-2.642349,-1.386549,0.072853,-0.107482,-0.15271,-0.01034,0.107247,A
9445.504,0.088,3,Playing d_bow...,Note,62,D4,A,0.410958,0.351006,0.656356,0.176853,-1.661059,-2.080825,1.037497,-2.338692,-0.584929,1.14997,-1.362197,-1.367593,-2.642349,-1.536671,-0.11802,0.312112,-0.147127,-0.015874,0.100148,A
9445.512,0.096,3,Playing d_bow...,Note,62,D4,A,0.402958,0.350994,0.656356,0.176839,-1.661042,-2.080799,1.037543,-2.33868,-0.584926,1.150004,-1.362197,-1.367577,-2.642346,-1.32437,-0.327181,0.135814,-0.140144,-0.009291,0.101399,A
9445.52,0.104,3,Playing d_bow...,Note,62,D4,A,0.894958,0.350997,0.656364,0.176843,-1.661054,-2.080795,1.037541,-2.338676,-0.584914,1.149966,-1.362175,-1.367574,-2.642334,-1.337036,0.036435,0.029022,-0.153409,-0.012181,0.104364,A
9445.608,0.192,3,Playing d_bow...,Note,62,D4,A,0.806958,0.351004,0.656356,0.176849,-1.661032,-2.080836,1.037502,-2.338688,-0.584922,1.14997,-1.362197,-1.367593,-2.642368,-1.326188,0.474913,-0.128946,-0.157805,-0.008163,0.109606,A
9445.616,0.2,3,Playing d_bow...,Note,62,D4,A,0.798958,0.351012,0.656356,0.176856,-1.661044,-2.080827,1.037451,-2.338695,-0.584922,1.149956,-1.362213,-1.367574,-2.642368,-1.433473,-0.179533,-0.013054,-0.144922,-0.013376,0.105121,A
9445.624,0.208,3,Playing d_bow...,Note,62,D4,A,0.790958,0.35101,0.656346,0.176838,-1.661032,-2.08078,1.037556,-2.338703,-0.584922,1.150001,-1.362178,-1.367581,-2.642368,-1.365565,-0.130916,0.18742,-0.143697,-0.013699,0.102235,A
9445.704,0.288,3,Playing d_bow...,Note,62,D4,A,0.710958,0.350994,0.656363,0.176837,-1.661037,-2.080832,1.037532,-2.338672,-0.584907,1.14997,-1.362197,-1.367593,-2.642349,0.434971,-0.872981,0.278309,0.013745,0.001309,-0.0137,A
9445.712,0.296,3,Playing d_bow...,Note,62,D4,A,0.702958,0.350981,0.65636,0.176812,-1.66099,-2.080789,1.037597,-2.338661,-0.584891,1.150013,-1.362194,-1.367562,-2.642364,-0.008033,-0.686205,0.330539,0.010585,-0.003908,-0.010985,A
