event,string,bow_dir,tcp_x,tcp_y,tcp_z,tcp_rx,tcp_ry,tcp_rz,from,to,q0,q1,q2,q3,q4,q5,timestamp
note,G,up,0.27,0.272,0.152,0.0,-0.052866242834671784,-2.4227626539681686,,,-2.077160433283093,0.0769592416556012,1.7757281960088815,-4.228725449334602,0.630393005343775,-0.4744383166396515,0.0
note,G,up,0.27,0.272,0.152,0.0,-0.052866242834671784,-2.4227626539681686,,,-2.077160433283093,0.0769592416556012,1.7757281960088815,-4.228725449334602,0.630393005343775,-0.4744383166396515,0.01
note,G,up,0.27,0.272,0.152,0.0,-0.052866242834671784,-2.4227626539681686,,,-2.077160433283093,0.0769592416556012,1.7757281960088815,-4.228725449334602,0.630393005343775,-0.4744383166396515,0.02
note,G,up,0.27,0.272,0.152,0.0,-0.052866242834671784,-2.4227626539681686,,,-2.077160433283093,0.0769592416556012,1.7757281960088815,-4.228725449334602,0.630393005343775,-0.4744383166396515,0.03
note,G,up,0.27,0.272,0.15200000000000002,0.0,-0.052866242834671784,-2.4227626539681686,,,-2.077160433283093,0.0769592416556012,1.7757281960088815,-4.228725449334602,0.630393005343775,-0.4744383166396515,0.04
note,G,up,0.27,0.272,0.152,0.0,-0.052866242834671784,-2.4227626539681686,,,-2.077160433283093,0.0769592416556012,1.7757281960088815,-4.228725449334602,0.630393005343775,-0.4744383166396515,0.05
note,G,up,0.27,0.272,0.152,0.0,-0.052866242834671784,-2.4227626539681686,,,-2.077160433283093,0.0769592416556012,1.7757281960088815,-4.228725449334602,0.630393005343775,-0.4744383166396515,0.06
note,G,up,0.27,0.272,0.15199999999999997,0.0,-0.052866242834671784,-2.4227626539681686,,,-2.077160433283093,0.0769592416556012,1.7757281960088815,-4.228725449334602,0.630393005343775,-0.4744383166396515,0.07
note,G,up,0.27,0.272,0.15200000000000002,0.0,-0.052866242834671784,-2.4227626539681686,,,-2.077160433283093,0.0769592416556012,1.7757281960088815,-4.228725449334602,0.630393005343775,-0.4744383166396515,0.08
note,G,up,0.27,0.272,0.152,0.0,-0.052866242834671784,-2.4227626539681686,,,-2.077160433283093,0.0769592416556012,1.7757281960088815,-4.228725449334602,0.630393005343775,-0.4744383166396515,0.09
